,model_stn,p_value
AT3G24190.1,0.8816619001348669,0.13857333333333322
AT1G71810.1,-0.015146615809786993,0.6158
AT4G31390.1,-1.0246619568142523,0.0949
AT3G10130.1,-2.1197116740295847,0.020366666666666665
AT3G27110.1,-0.15314142742726206,0.5172533333333333
AT5G08740.1,-0.16971353604781558,0.5129600000000001
AT2G34460.1,-0.8495843706929715,0.14432666666666666
AT2G46910.1,-1.2082632051693727,0.07031333333333334
AT1G78140.1,1.124331296478686,0.09300666666666668
AT1G54570.1,0.5073384577085883,0.2716733333333332
AT1G06690.1,0.4977693278652212,0.28002666666666665
AT5G41120.1,-0.5246454236585884,0.26572
AT1G28150.1,0.4619979115332787,0.30955333333333335
AT3G26840.1,0.44814205756323544,0.30955333333333335
AT1G79600.1,-0.7377251903443185,0.17694666666666664
AT3G07700.1,1.7894213270623522,0.024920000000000053
AT2G42130.3,-0.5081167016523938,0.26996
AT4G38970.1,0.24487681750898047,0.43828
AT3G43540.1,0.8221559537256252,0.15969999999999995
AT2G35490.1,0.7327623995290465,0.18104666666666658
AT3G58010.1,-1.8388388256417028,0.024226666666666664
AT4G13200.1,1.084878921016794,0.09300666666666668
AT4G22240.1,0.008643485620207324,0.6190133333333332
AT4G04020.1,0.14132450137456265,0.5179333333333334
AT3G23400.1,-0.029400560539238275,0.5991666666666667
AT2G41040.1,0.13918331291534636,0.5179333333333334
AT4G32770.1,0.644896561818213,0.21433999999999997
AT1G32220.1,-0.22996494118502717,0.43794
AT5G05200.1,-0.12098527539648028,0.5213800000000001
AT4G19170.1,-0.2904578407521518,0.42118
