,model_stn,p_value
AT3G24190.1,0.0008102696101311989,0.55138
AT1G71810.1,-3.1832784808786188,0.0
AT4G31390.1,-4.844259247352027,0.0
AT3G10130.1,0.017069550739318286,0.55138
AT3G27110.1,0.3211783620724811,0.30667333333333335
AT5G08740.1,0.44733120970472867,0.25395333333333325
AT2G34460.1,-0.05158538001068688,0.5375866666666667
AT2G46910.1,-0.3622065571546444,0.2923133333333333
AT1G78140.1,0.8265298215114185,0.0907
AT1G54570.1,0.3576219108893352,0.2904333333333333
AT1G06690.1,0.1553649709125393,0.5143333333333333
AT5G41120.1,-0.3505596913599721,0.2923133333333333
AT1G28150.1,0.13427694726731093,0.5143333333333333
AT3G26840.1,-0.6985238132456958,0.12226666666666666
AT1G79600.1,-3.3119400164649275,0.0
AT3G07700.1,-0.169624294796889,0.5168266666666667
AT2G42130.3,-1.4545552673374942,0.025433333333333332
AT4G38970.1,0.2341173761738171,0.4435199999999999
AT3G43540.1,0.0015554759092883713,0.55138
AT2G35490.1,0.8795495784400729,0.0907
AT3G58010.1,-0.7425874971202071,0.10966666666666666
AT4G13200.1,0.2977186116672859,0.33197999999999994
AT4G22240.1,0.026487953717382932,0.55138
AT4G04020.1,0.7042803913689708,0.11498666666666657
AT3G23400.1,0.2672278525943725,0.38151999999999986
AT2G41040.1,0.044671067338162486,0.5352733333333333
AT4G32770.1,0.2861046938037444,0.33197999999999994
AT1G32220.1,0.40670106152216834,0.2661266666666666
AT5G05200.1,0.011326363048405994,0.55138
AT4G19170.1,-0.5209261697071333,0.22638666666666665
