AT1G53240.1	0.000715516	0.000796409	0.000112092	0.001134241	0.000540507	0.000100025
AT3G15020.1	0	0	0.000112092	4.0032E-05	0	0.000100025
AT1G56410.1	0	0.000123081	7.00574E-05	0	0	0
AT5G02490.1	0	0.000123081	7.00574E-05	0	0	0
AT5G56000.1	0	0	0	0	0.000122843	0
AT5G56010.1	0	0	0	0.00060048	0.000122843	0
AT1G13440.1	0	0	0	6.672E-05	0	9.37734E-05
AT3G04120.1	0	0	0	6.672E-05	0	9.37734E-05
AT3G14415.1	0.00131178	0	0.000714586	0.00239525	0.000755482	0.0024006
AT3G14420.1	0.001470783	0.001086012	0.000476391	0.002275153	0.00170137	0.00203801
AT5G14590.1	0.000198754	0	7.00574E-05	0.00013344	0.000122843	6.25156E-05
AT1G04410.1	0	0	0	0.00020016	0	0
AT1G07890.1	0	0	0	0.0003336	0.000184264	0.000125031
AT1G08110.1	0	0.000506806	7.00574E-05	6.672E-05	0	0
AT1G09620.1	0	0	0	6.672E-05	0	0
AT1G10370.1	0.000132503	7.24008E-05	0.000140115	0	0	0
AT1G11860.1	0.000993772	0	7.00574E-05	0.000800641	6.14213E-05	0
AT1G13930.1	0	0	0	0.00020016	0.000122843	0
AT1G19570.1	0	0	0	0.00040032	6.14213E-05	0.000125031
AT1G20620.1	0.000503511	0.00086157	0.000175144	0.000420336	0.000737055	0.001650413
AT1G23310.1	0.002385054	0.002316826	0.001681379	0.002802242	0.002334009	0.00343836
AT1G23730.1	0	7.24008E-05	0	0	0	0
AT1G27450.1	0.000265006	0.000144802	0.00056046	0	0	0
AT1G32470.1	0.001073274	0.000289603	7.00574E-05	0.000520416	0.000429949	0.000125031
AT1G48030.1	0.000927521	0	0	0.00013344	0	0
AT1G52400.1	0.000132503	0.000289603	0	0.00053376	0.000307106	0.000437609
AT1G52410.1	0	0	0	0.00020016	0.000122843	0
AT1G56070.1	0.000198754	0.000144802	0.000140115	0.0003336	0.000122843	0.000125031
AT1G68010.1	0.001391281	0.000289603	0.000420345	0.001801441	0.000982741	0.002250563
AT1G76180.1	0.000331257	0	0	0	0	0
AT1G78370.1	0	0.000217202	0	0	0	0
AT1G78380.1	0.000198754	0.000724008	0.000350287	0.00026688	0.000307106	0.000562641
AT1G79230.1	0.000132503	7.24008E-05	0	0	0.000122843	0
AT1G79870.1	6.62515E-05	0	0	0	0	0
AT2G01210.1	0.001391281	0.001954822	0.002241838	0.001334401	0.001289847	0.001812953
AT2G05710.1	0.000530012	0.000362004	0.000420345	0.001401121	0.001289847	0.001375344
AT2G06050.1	0	0	0	6.672E-05	6.14213E-05	0
AT2G13360.1	0.00178879	0.000579206	0.001120919	0.002401922	0.001965481	0.003563391
AT2G16600.1	0	0	0	6.672E-05	0	0.000187547
