Best model	R1	R4	R7	R6	R8	R9
Glyma13g06170.1	0	0	0	0	0	9.35427E-05
Glyma02g27260.2	0	0	9.35427E-05	0	0	0
Glyma13g23260.1	0	0	0	0	9.35427E-05	0
Glyma13g24060.1	0	0	0	9.35427E-05	0	0
Glyma05g08700.3	9.35427E-05	0	0	0	0	0
Glyma07g01710.1	0	0	9.35427E-05	0	0	0
Glyma20g36480.1	0	0	0	0	9.35427E-05	0
Glyma18g07460.1	0	0	0	9.35427E-05	0	0
Glyma04g01950.1	0	0	0	0	0	9.35427E-05
Glyma15g13580.1	0	9.35427E-05	0	0	0	0
Glyma20g38820.1	0	0	0	0	9.35427E-05	0
Glyma15g14360.1	0	9.35427E-05	0	0	0	0
Glyma08g02930.1	0	9.35427E-05	0	0	0	0
Glyma12g30490.1	0	0	0	0	9.35427E-05	0
Glyma14g03470.1	0	9.35427E-05	0	0	0	0
Glyma10g17570.1	0	0	9.35427E-05	0	0	0
Glyma18g43980.1	0	0	0	9.35427E-05	0	0
Glyma18g52160.1	0	0	0	0	0	9.35427E-05
Glyma09g35900.1	0	9.35427E-05	0	0	0	0
Glyma05g01000.1	0	0	9.35427E-05	0	0	0
Glyma19g40620.1	0	0	0	0	9.35427E-05	0
Glyma15g11200.1	0	0	0	9.35427E-05	0	0
Glyma13g01000.1	0	0	0	0	0	9.35427E-05
Glyma17g06880.2	0	9.35427E-05	0	0	0	0
Glyma03g39570.1	9.35427E-05	0	0	0	0	0
Glyma20g28890.1	9.35427E-05	0	0	0	0	0
Glyma07g13230.1	0	9.35427E-05	0	0	0	0
Glyma01g37270.1	0	0	0	9.35427E-05	0	0
Glyma20g38580.1	0	0	0	9.35427E-05	0	0
Glyma05g03640.1	0	9.35427E-05	0	0	0	0
Glyma09g08100.1	0	0	0	0	0	9.35427E-05
Glyma9060s00200.1	0	0	0	0	0	9.35427E-05
Glyma06g18080.1	0	9.35427E-05	0	0	0	0
Glyma12g01650.1	0	9.35427E-05	0	0	0	0
Glyma02g48070.1	0	0	9.35427E-05	0	0	0
Glyma12g09540.1	0	0	0	0	9.35427E-05	0
Glyma15g06100.1	0	0	0	0	9.35427E-05	0
Glyma01g37490.1	0	0	0	0	0	9.35427E-05
Glyma08g45710.1	0	0	0	0	0	9.35427E-05
Glyma19g44350.1	9.35427E-05	0	0	0	0	0
Glyma08g00760.1	0	9.35427E-05	0	0	0	0
Glyma10g00210.1	9.35427E-05	0	0	0	0	0
Glyma20g22170.1	0	0	9.35427E-05	0	0	0
Glyma01g26930.1	0	0	0	9.35427E-05	0	0
Glyma17g36090.1	0	0	0	9.35427E-05	0	0
Glyma14g17360.1	0	0	0	9.35427E-05	0	0
Glyma12g28670.2	0	0	0	0	0	0.000112251
Glyma08g46070.1	0	0	0	5.61256E-05	6.54799E-05	0
Glyma04g09110.1	4.67714E-05	7.48342E-05	0	0	0	0
Glyma13g10130.1	0	0.000121606	0	0	0	0
Glyma14g36280.4	0	3.74171E-05	0	9.35427E-05	0	0
Glyma09g39390.1	0	0	0	0	0	0.000140314
Glyma08g47730.1	0	0	0	0	0.000140314	0
Glyma09g00280.1	0	0	0	4.67714E-05	9.35427E-05	0
Glyma15g42150.1	0	0	0.000140314	0	0	0
Glyma06g05580.1	0	0	0.000140314	0	0	0
Glyma01g40140.1	0	0	0	0	0	0.000140314
Glyma10g44180.1	0	0	0	0	0	0.000149668
Glyma13g23090.1	0	0	0	0	0	0.000159023
